iter	Passed	Remaining
338	1872	3650
339	1875	3640
340	1880	3634
341	1885	3626
342	1888	3617
343	1892	3608
344	1900	3608
345	1903	3598
346	1907	3588
347	1915	3588
348	1918	3578
349	1921	3567
350	1923	3557
351	1931	3555
352	1934	3546
353	1938	3537
354	1946	3537
355	1950	3527
356	1953	3518
357	1962	3519
358	1966	3512
359	1971	3504
360	1981	3506
361	1985	3499
362	1995	3502
363	2000	3494
364	2012	3501
365	2016	3492
366	2025	3493
367	2029	3485
368	2034	3478
369	2042	3477
370	2045	3468
371	2049	3460
372	2056	3456
373	2059	3447
374	2063	3438
375	2066	3429
376	2073	3426
377	2077	3417
378	2080	3409
379	2094	3416
380	2101	3414
381	2106	3407
382	2111	3401
383	2123	3405
384	2129	3401
385	2138	3401
386	2142	3393
387	2149	3390
388	2155	3385
389	2159	3377
390	2166	3374
391	2170	3366
392	2174	3358
393	2182	3357
394	2187	3350
395	2191	3342
396	2200	3341
397	2206	3336
398	2216	3338
399	2220	3330
400	2223	3321
401	2231	3320
402	2235	3311
403	2238	3302
404	2247	3301
405	2251	3294
406	2255	3286
407	2264	3285
408	2272	3283
409	2277	3277
410	2283	3272
411	2293	3273
412	2298	3266
413	2309	3268
414	2314	3262
415	2323	3261
416	2327	3253
